yig=num (adj), 1g=one
pamol=num (adj), 2=two
amol=num (adj), 2=three
mol=num (adj), 2=four
daj=num (adj), 1g=five
khud=num=six
ša=num=seven
gak=num=eight
vak=num=nine
cun=num;suff=ten;ty
už=n, m=man
zogu=v, 3=see, look
go=pron, n=I
wo=pron, n=you
mal=v, 4=give
ven=n, m=dog
chonn=v, 4=come;!when suffixed to infinitive, "begin/start ..." or "will ...";!when suffixed to adjectives, functions like eo. -igx-
pan=n, m=hand
tho=conj, =and (verbal and nominal)
the=n, n=tree
sog=adj, 1g=good
lens=adj, 2s=bad
lis=n, f=mouse
theg=det (adj); pron, 1g=this (or something just mentioned)
enz=det (adj); pron, 2z=that (near listener/something the listener said)
ik=det (adj); pron, 1k=that (far); yon (or something said by the speaker/listener a while back)
šikh=det (adj); pron, 1kh=what/who/which (interrogative)
-ye=clitic=question particle;!suffixed to the word in question
*wa=v/suff., 4=verb negator;!suffixed to the infinitive form;!can also be used as a suffix in negative copulative structures;!does not exist alone
*saku=v/suff., 2=desiderative verbal suffix;!inflects like a verb but does not exist alone
-bu=n/suff., n=verb/adj nominalizer;!attaches to the STEM of adjectives and the INFINITIVE of verbs
okhu=v, 1=be*/exist;as an OPTIONAL verbal suffix to the infinitive form, indicates past tense;!also used for the identity correlative series
*magu=v, 3=potential suffix
*yuc=v/suff., 4=prohibitive verb;!used only connected to another verb
gez=n, f=color
cug=adj, 1g=white
wens=adj, 2s=red/yellow
unt=adj, 2t=green/blue
juk=adj, 1k=black
it=n, f=woman
thenkh=n, m=bird
gune=n, n=reed
yovu=n, n=leaf
bu-=prefix, =turns wh- words into some- words, eg. what -> something
-ven=clitic, =intensifier pronoun clitic; ie the director HIMSELF said so
-chakh=adj/suff., 1kh=-th; ie. five -> fifth = ša -> šachakh; 1-4th are exceptional; see nominal morphology
venkh=adj, 1kh=first
wekh=adj, 1kh=second
cankh=adj, 1kh=third
mokh=adj, 1kh=fourth
-ni=adj/suff., indeclinable=distributive numeral suffix; ie. "apiece"
veni=adj, indeclinable=one apiece
weni=adj, indeclinable=two apiece
cani=adj, indeclinable=three apiece
moni=adj, indeclinable=four apiece
-mok/-mu=adj/suff., 1k=possessive suffix, added to stem/base form of nouns; it -> itmoc/itmu;itmoj/itmi
kan=n, m=person/guy
vin=n, m=baby
ponb=n, m=child/kid
še=n, m=boy
wanl=n, f=girl
jinž=adj, 2ž=big
binž=adj, 2ž=small/little
junn=adj/det, 2n=many/much
bunn=adj/det, 2n=few/little
nikhu=v, 1=do/make
ve'=v, 4=go
ukhu=v, 1=get/take
je=adv, =very/really
žukh=adj/det/pron, 1kh=all (pl)/every (s)
ang=adj/det/pron, 1g=no/none
-il=adv, =adverbial numeral suffix ie. once/twice/n times
-phik=adj/suff., 1k=multiplicative numeral suffix ie. onefold/twofold/n-fold
-žug=adj/suff., 1g=fractional numeral
žo=adposition, =in
a=adposition, =at
chic=adposition, =on (at the upper surface of)
ziz=adposition, =on (at the outer surface of)
yog=n, f=cat
ekh=n, m=horse
tasot=n, f=chicken
won=n, m=cattle, cow
zoy=n, n=fish
šoket=n, f=deer
invil=n, m=goat
khom=n, m=pig
velik=n, m=ram (sheep)
puzan=n, m=bear
chinš=n, f=fox
pin=n, m=snake
bak=n, m=wolf
mežut=n, f=ant
yab=n, f=bee
ci=n, n=fly
že=n, n=louse
khis=n, f=spider
akhu=n, n=worm
yin=n, m=egg
avyenž=n, f=milk
cheg=n, m=wool
thit=n, f=rabbit
bav=n, f=mouse
tenžonl=n, m=rat
zoph=n, f=squirrel
geg=n, m=claw
šafniw=n, n=feather
efni=n, n=hoof
on=n, m=horn
ufki=n, n=tail
owu=n, n=wing
ša=n, n=arm
ud=n, f=finger
imog=n, m=fingernail
guk=n, m=foot
sam=n, m=hand
eš=n, f=leg
thindgunž=n, f=thumb
giš=n, f=toe
we=n, n=head
bofan=n, m=beard
ži=n, n=chin
yaliph=n, f=ear
fonviph=n, f=eye
baw=n, n=face
thinchu=n, n=mouth
oši=n, n=cheek
khi=n, n=jaw
funv=n, f=lip
weng=n, f=tongue
punn=n, m=tooth
šenki=n, n=neck
mankh=n, f=nose
uso=n, n=throat
u=n, n=blood
thinye=n, n=bone
che=n, n=fat
bincaw=n, n=flesh~meat~muscle
wiw=n, n=hair
uje=n, n=nerve
ženle=n, n=skin
okso=n, n=tear
anginž=n, f=ankle
unbyi=n, n=elbow
thadong=n, f=hip
dethaw=n, n=knee
lunkhem=n, m=knuckle
mišphuk=n, f=shoulder
an=n, m=wrist
pinš=n, f=back(side), bottom (ass)
phuchunk=n, f=belly
thoncug=n, f=breast
onš=n, f=thigh
zanlkhe=n, n=bladder
anžo=n, n=brain
chonchon=n, m=guts~intestine
luban=n, m=heart
bunyu=n, n=kidney
nuwu=n, n=liver
etu=n, n=lung
bon=n, m=stomach
okni=n, n=pancreas~sweetbread
šiko=n, n=bark
ugvag=n, f=berry
sin=n, m=branch~stick~twig
ans=n, f=flower
šio=n, n=rose
ing=n, f=fruit
okye=n, n=orange (sp. Mandarin)
zintye=n, n=page;paper
bing=n, f=nut
kužon=n, m=root
wenchu=n, n=allium species, incl. onion, garlic, and green onion
isunk=n, f=seed
chan=n, m=stem~trunk
